id,replyCount,likeCount,publishedAt,authorName,text,isReply
6bf7f5c94e7eced12911ec3f6c30d09b088e17ab,151.0,4755,2022-12-25 19:02:15,315fc02efd04936037565afda5219bcdd1352601,Bautista is in everything now and I’m here for it. Now this is a wrestler turned actor to take serious that doesn’t play himself constantly and doesn’t pick roles based on being the hero all the time and doesn’t mind dying in his movies while actually pumping out good movies instead of 1000 shit to mediocre films.,0
e1eb1c03e9822f3ab220f42bbb5ef67c553bd6c5,223.0,4098,2022-12-31 15:02:09,85fdb9a983cf2d6e6e5bcdb9649fd2043b1c74ee,Dave Bautista can play just about any role and don't get the recognition he deserves like the rock who plays the same guy in every movie,0
537ec4e0b9eafff824f2164c89503c5edadaef06,103.0,3275,2022-12-25 18:27:47,d3e9746e12d1119c840e0bbc341f9c232aa59346,Looks so promising... Dave Bautista keeps pushing his acting limits and it's always great to see Rupert Grint on screen,0
39b5d08d174c4cf094c8a6917bf15c74015cd8c6,106.0,1566,2022-12-28 20:44:12,a0b029b43ace0c983ae859bc25d070d8ae13d922,"Dave Bautistas story is incredible too, how he became a WWE star and how he’s here. Was made for being a performance artist !",0
5fc6799f868ebc8371fdebfcd2a21275d70e106c,33.0,1497,2022-12-25 22:29:09,d798b3df4a278af508849d7a2a7a136e5889743e,So happy M. Night hasn't given up on making movies. I am so excited about this!,0
974e907e91b12e6e171dc3337ecc7f013ef003ef,100.0,1233,2022-12-25 19:14:19,5432f2a2b9c76828dc970d158667ba2bbde3af70,"after what we got with old, this looks 20 times better",0
5c36cd4a61400de1e2492aef709d2577a28d5259,38.0,896,2022-12-31 17:10:57,fe7f479f3cd238bc15bbf75b8b41d57a733a4cfb,"This looks wild, I like the idea/concept. A new twist on an old parable.",0
437ac6b887a5c615b269f0226656f663d6614a62,7.0,496,2022-12-26 16:48:54,caf73ff9fe0ea8bf69a3cc625ca6656b042877a8,"the wildest thing to me is dave’s weapon, it’s a pitchfork axe!",0
6e06ab585870c3501c1ce3dc3eb8aa5a1f102061,16.0,488,2023-01-09 23:49:36,d243426a81d88ce3f7919e15514fff19ced819b6,"Everyone is talking about Dave Bautista, but can we just appreciate Jonathan Groff 🙌🏼🙌🏼 such an underrated actor. Seeing him alongside Dave and Rupert Grint is freaking amazing. So glad to see Jonathan on the big screen with a main credit role. Really hope he gets the recognition he deserves.",0
d3cf74d8a5cfde08a799e27260da74a890502504,25.0,383,2022-12-30 15:43:20,5bed8052888161d5b4bc76418f43bfd99f51409d,"For those thinking this is another Shyamalan original story, the film is based off Paul Tremblay's widely acclaimed novel, 'The cabin at the end of the world'.",0
792d0944d3f207d0d36602ed341cece28a239885,28.0,357,2022-12-26 06:54:31,a4f20a35cd5afde835ee39d92a6242de59ee0c48,"Even though Shyamalan misses as much as he hits, he's always original and he's always trying stuff. So, I am never not excited for his films. I hope he never stops making them.",0
c2a2f8e12076748cab7eee048bbad57c4d44c5be,7.0,323,2022-12-29 14:14:43,80519d8d440327353f65424476c401fd5c81f304,So happy to see Rupert Grint back!!!,0
5217082294a135b9d6dcb2626a79e4bd98bab47e,16.0,297,2022-12-31 17:55:02,5b37d5760e7d0b2e20049894653876f7fdbb12d1,Rupert Grint is amazing,0
36623204833c2ed4203b72c744093e7be2c34137,1.0,267,2022-12-25 18:03:57,8fddc23446809e3b7448efb21f388214a339b675,"Can't wait for this one, looking good",0
ef0089afe2f580fe6f17e90870cae09a84469778,41.0,265,2022-12-25 19:11:39,44bc93e388e5c1e48f2d45d56c214d217bb4c90b,What crazy plot twist Shyamalan going to do for this movie,0
baf8fe2830b252155dce612a5849d3ab70f3c579,18.0,252,2022-12-25 18:02:43,303e3b8844d4c2b0b607c59b42af9abc4d04b559,"This looks really good! I hope it’s one of M. Night Shyamalan’s best work since welp, Split!",0
68eaca455496bff4b0ca6208da297486599328d3,11.0,252,2022-12-25 19:55:27,675195c18bbd12438dbf82b38ee8e278fff98b7c,"I love how Hollywood is trusting Dave Bautista more and more with different and more challenging roles. He's proven himself and is getting rewarded with more chances to hone what I'm sure he's happy to now call his ""craft""",0
e99c06c73ef9bd474e6e9569a15f291ce2ab1640,3.0,247,2022-12-25 18:02:19,012b5d43270569fec2a4051e11b39c117c02890b,SO EXCITED FOR THIS,0
bda58c58906dc88a22202b3c6cc56c0fcef779ff,17.0,234,2022-12-27 02:49:52,2d96751cb72f65b55b5772c5009397aa4be524fb,"As someone who's read the OG book by Paul Tremblay, this looks freaking fantastic so far. Pretty much spot on to how I'd imagined it, also great job from Bautista as Leonard, he's always a gem to see",0
1e839afaf2e095a6a238dd62c2a292649c6880ef,12.0,204,2022-12-25 19:46:11,43a9a50c1449617f0f67fef29214502ad00a37e3,"I'm still on the fence. It's never too late for a shyamalan project to go south, so I'll be waiting till after it releases to see if it's worth it",0
b6b98b079b7c963d2a019e99bc37bd983251df77,1.0,197,2022-12-26 01:53:30,aa925be029513e2a5e7f6ab364081d5fde035732,"Dave Bautista really is an incredible actor, by far has come out from a WWE wrestler to a all round class performer. tons of range and depth.",0
27de25ed176e93122aa8a9331b3255252af0e2bc,5.0,166,2022-12-27 13:51:54,1b07a2e6d2c8e788454b5e0055a4ee9fcda2563a,This looks promising,0
90adfaacc1ffab93867f3c46f6bae4d892d4e94e,3.0,150,2023-01-18 07:13:42,7b0e2b2efbeaf4d364ff3e4d31ffb9848c6e5a6c,"Love seeing Bautista in so much! And love having Rupert back on the big screen! Dave has great comedic timing, but I'm absolutely excited to see him crush this too!",0
4ce8e43daa3c8a78fc1535998c9fb8c41df6ce43,4.0,149,2023-01-15 15:09:12,95a15fd006adbdc04572ea31d9446d08068ee66d,"I love how Dave goes about his acting. Doesn't want to be the next Rock, just want's to be known as a good actor and he is.",0
875e44f45efe78f7f9637c8d34c248efd8202f57,3.0,140,2023-01-01 04:32:44,8731dc9c62b0e854e1a8314dff65706370d7b2eb,"I am intrigued. And since Batista is here, we know the script will showcase his acting one way or another.",0
8577562d76aeb450d52e32da2eaf020dd89ba400,6.0,140,2022-12-26 01:55:51,aa925be029513e2a5e7f6ab364081d5fde035732,This movie is going to be wild no matter how good or bad it is,0
ff9c65c1987e63414372ee8895449eb42d192dcf,13.0,136,2022-12-27 14:33:22,e4bd5d6f0baeb18a1d55bd1fe80d92252728ade6,"I'll always give M. Night a chance. Sure, he makes frequent duds. But occasionally, he creates a masterpiece and I'm here for it. This one could be his next hit.",0
6e5240d01fc2896eaced4d109cce5d4c6da748b5,3.0,123,2022-12-25 18:07:54,b721dbed8d1ba9135f4cdd0ee0114d49187fce48,Dave Bautista continues to be one of this generation’s most interesting actors,0
4e902a27cb094004b22dc3af4aafa2a8ac130f11,0.0,113,2022-12-26 19:14:27,e9619226d0b44b930c8c877135b71ab7b9a5e5ca,This is gonna be a mind-bender of a psychological thriller and I'm actually all for it.,0
